word,success_rate,offered,correct,wrong,id,rank,pos,tf,idf,level1,level2,psuccess,lemma,lemmaTF,bucket
afternoon,50,2,1,1,10279,2065,NN,43,0.319148936,3,4,72.72727273,afternoon,625478,5
afternoons,33.33333333,6,2,4,17044,2065,NNS,1,0.021276596,3,6,72.72727273,afternoon,30630,7
afterthought,0,8,0,8,10280,16889,,0,0,11,10,0,afterthought,16974,10
afterwards,0,3,0,3,15219,4085,NNS,5,0.106382979,9,10,18.18181818,afterwards,254398,10
again,69.56521739,23,16,7,12184,240,RB,630,0.957446809,1,1,90.90909091,again,5545703,4
against,28,25,7,18,10770,281,IN,179,0.808510638,1,2,90.90909091,against,4930936,8
age,28.57142857,7,2,5,9649,452,NN,15,0.234042553,5,1,54.54545455,age,2652884,8
agent,80,5,4,1,14739,1143,NN,25,0.106382979,5,2,54.54545455,agent,791251,2
agents,0,4,0,4,16609,1143,NNS,4,0.042553191,5,3,54.54545455,agent,575172,10
ages,50,2,1,1,14643,452,NNS,7,0.127659574,7,9,36.36363636,age,566267,5
aggressive,40,5,2,3,11164,3436,JJ,3,0.063829787,9,2,18.18181818,aggressive,327114,6
agile,60,5,3,2,11903,6001,NN,3,0.042553191,10,7,9.090909091,agile,137407,4
aging,36.36363636,11,4,7,17576,452,V,0,0,6,10,45.45454545,age,35593,7
agitate,60,5,3,2,11619,16150,,0,0,11,8,0,agitate,6171,4
ago,19.04761905,21,4,17,9592,497,RB,46,0.489361702,2,2,81.81818182,ago,3004720,9
agony,25,4,1,3,11359,12045,NN,6,0.106382979,8,4,27.27272727,agony,35731,8
agree,33.33333333,12,4,8,9893,722,NN,10,0.191489362,6,9,45.45454545,agree,1363956,7
agreed,42.85714286,7,3,4,13938,722,VBD,10,0.170212766,6,9,45.45454545,agree,563130,6
agreeing,0,6,0,6,16366,722,VBG,1,0.021276596,6,4,45.45454545,agree,64058,10
agreement,42.85714286,7,3,4,14565,1067,NN,8,0.127659574,7,4,36.36363636,agreement,1205907,6
agreements,42.85714286,7,3,4,16559,1067,N,0,0,7,11,0,agreement,255867,6
agrees,0,4,0,4,16365,722,NNS,2,0.042553191,6,9,45.45454545,agree,154229,10
ahead,23.52941176,17,4,13,9660,2468,RB,152,0.829787234,1,1,90.90909091,ahead,703112,8
ahem,33.33333333,6,2,4,13413,17800,NN,24,0.212765957,4,2,63.63636364,ahem,16777,7
aid,28.57142857,7,2,5,15351,4277,NN,10,0.085106383,8,5,27.27272727,aid,692724,8
aided,50,8,4,4,17795,4277,V,0,0,8,2,27.27272727,aid,52067,5
aiding,10,10,1,9,17796,4277,V,0,0,8,11,0,aid,30476,9
aim,0,8,0,8,13195,3374,NN,23,0.255319149,4,5,63.63636364,aim,212301,10
aimed,0,6,0,6,16917,2827,VBN,3,0.063829787,4,8,63.63636364,aim,268575,10
aiming,0,8,0,8,13981,1735,VBG,9,0.170212766,6,8,45.45454545,aim,120053,10
aims,0,5,0,5,13308,3374,NNS,21,0.234042553,4,8,63.63636364,aim,213785,10
air,51.72413793,29,15,14,12279,509,NN,265,0.765957447,1,1,90.90909091,air,2937791,5
aired,13.63636364,22,3,19,18200,509,V,0,0,1,11,27.27272727,air,70780,9
airlock,33.33333333,6,2,4,15695,24052,NN,12,0.042553191,9,10,18.18181818,airlock,7249,7
airplane,42.85714286,7,3,4,10187,5472,NN,6,0.063829787,9,4,18.18181818,airplane,115660,6
airplanes,100,2,2,0,18041,5472,NNS,1,0.021276596,9,11,0,airplane,45436,0
airport,75,4,3,1,10188,1560,NN,6,0.042553191,9,5,18.18181818,airport,802579,3
airports,0,3,0,3,16831,1560,N,0,0,9,10,18.18181818,airport,130863,10
aisle,45.45454545,11,5,6,13846,7618,NN,14,0.170212766,5,8,54.54545455,aisle,67906,6
ajar,0,4,0,4,11620,31424,NN,3,0.063829787,9,11,0,ajar,4123,10
akin,0,2,0,2,11621,9234,,0,0,11,10,0,akin,63596,10
alacrity,16.66666667,6,1,5,15788,35997,,0,0,11,9,0,alacrity,2750,9
alarm,60,20,12,8,10111,10600,NN,43,0.468085106,2,11,72.72727273,alarm,217246,4
alarmed,20,5,1,4,13870,10600,JJ,13,0.170212766,5,3,54.54545455,alarm,20475,8
alarms,60,5,3,2,15627,3849,NNS,7,0.063829787,9,9,18.18181818,alarm,62308,4
alert,66.66666667,3,2,1,11042,5535,NN,19,0.191489362,5,1,54.54545455,alert,39618,4
alerted,28.57142857,7,2,5,17982,5535,VBN,1,0.021276596,5,11,0,alert,36775,8
alerts,30,10,3,7,17931,5535,N,0,0,5,2,54.54545455,alert,163160,7
alien,12.5,8,1,7,14327,6136,NN,39,0.127659574,4,5,63.63636364,alien,76767,9
aliens,12.5,8,1,7,15256,5226,NNS,54,0.085106383,4,5,63.63636364,alien,97730,9
alive,35,20,7,13,9843,2729,JJ,106,0.70212766,1,4,90.90909091,alive,464692,7
all,52,25,13,12,9495,383,DT,2439,0.978723404,1,2,90.90909091,all,37104835,5
allege,22.22222222,9,2,7,11622,5567,,0,0,11,10,0,allege,20648,8
alleged,0,6,0,6,18060,5567,VBN,1,0.021276596,11,8,0,alleged,189755,10
alleges,33.33333333,9,3,6,18062,5567,V,0,0,11,8,0,allege,30181,7
allegiance,20,5,1,4,11360,10636,NN,1,0.021276596,10,10,9.090909091,allegiance,42942,8
alleging,33.33333333,3,1,2,18061,5567,V,0,0,11,8,0,allege,31391,7
allot,18.18181818,11,2,9,11904,14677,,0,0,11,10,0,allot,5179,9
allow,55.55555556,9,5,4,12953,183,VB,18,0.319148936,4,8,63.63636364,allow,2538192,5
allowed,42.85714286,7,3,4,11787,183,VBN,6,0.106382979,8,5,27.27272727,allow,1306008,6
allowing,25,4,1,3,14133,183,VBG,11,0.14893617,6,6,45.45454545,allow,920108,8
allows,16.66666667,6,1,5,16137,183,NNS,4,0.085106383,6,2,45.45454545,allow,2167927,9
almost,44.44444444,27,12,15,12211,462,RB,148,0.893617021,1,11,0,almost,3137958,6
alone,65.38461538,26,17,9,12232,8623,RB,141,0.85106383,1,2,90.90909091,alone,846704,4
along,11.11111111,18,2,16,12278,463,IN,246,0.765957447,1,5,90.90909091,along,3135859,9
alongside,28.57142857,7,2,5,13684,2886,RB,13,0.191489362,5,11,0,alongside,425349,8
aloof,14.28571429,7,1,6,11905,21147,,0,0,11,9,0,aloof,11340,9
alpha,50,2,1,1,15253,4177,NN,63,0.085106383,4,2,63.63636364,alpha,238611,5
already,35,20,7,13,10835,332,RB,116,0.85106383,1,2,90.90909091,already,4160114,7
alright,24,25,6,19,12619,11501,NN,120,0.425531915,2,2,81.81818182,alright,68685,8
also,22.72727273,22,5,17,12405,48,RB,72,0.595744681,2,1,81.81818182,also,26453163,8
alternate,0,8,0,8,11165,8547,NN,6,0.042553191,9,8,18.18181818,alternate,187631,10
alternative,37.5,8,3,5,15579,2664,NN,8,0.063829787,9,4,18.18181818,alternative,425037,7
alternatives,50,4,2,2,17042,2664,N,0,0,9,5,18.18181818,alternative,235211,5
although,33.33333333,3,1,2,13257,478,IN,14,0.255319149,5,4,54.54545455,although,3070808,7
altitude,33.33333333,6,2,4,11166,5974,NN,1,0.021276596,10,3,9.090909091,altitude,117580,7
altogether,16.66666667,6,1,5,11801,5048,RB,4,0.063829787,9,10,18.18181818,altogether,185059,9
always,73.33333333,30,22,8,9538,192,RB,200,0.957446809,1,1,90.90909091,always,6795349,3
amaze,36.36363636,22,8,14,15832,NULL,N,0,0,2,11,0,amaze,20392,7
amazed,10,10,1,9,13000,8085,VBN,28,0.29787234,3,2,72.72727273,amazed,106182,9
amazement,0,4,0,4,10386,16613,NN,8,0.14893617,7,11,0,amazement,19466,10
amazing,40,20,8,12,12441,8085,VBG,55,0.574468085,2,6,81.81818182,amazing,1739662,6
ambiguous,42.85714286,7,3,4,15792,11155,,0,0,11,11,0,ambiguous,44210,6
ambition,0,3,0,3,10937,5553,NN,3,0.063829787,9,3,18.18181818,ambition,94382,10
ambitions,35.71428571,14,5,9,18057,5553,NNS,2,0.021276596,9,4,18.18181818,ambition,62480,7
american,75,4,3,1,10789,516,NN,17,0.106382979,11,7,0,American,2928944,3
americans,41.66666667,12,5,7,16959,516,NN,1,0.021276596,11,4,0,American,690411,6
amiss,33.33333333,6,2,4,11906,20540,NN,1,0.021276596,10,3,9.090909091,amiss,12141,7
among,66.66666667,6,4,2,9604,617,IN,42,0.276595745,3,4,72.72727273,among,2535492,4
amongst,25,4,1,3,14487,3732,NN,9,0.127659574,7,7,36.36363636,amongst,291303,8
amount,28.57142857,7,2,5,9674,392,NN,8,0.170212766,6,9,45.45454545,amount,3099198,8
amounts,37.5,16,6,10,16218,392,NNS,1,0.021276596,6,6,45.45454545,amount,552505,7
amounts,37.5,16,6,10,18215,392,NNS,1,0.021276596,6,6,45.45454545,amount,552505,7
ample,16.66666667,6,1,5,11361,6208,NN,3,0.063829787,9,4,18.18181818,ample,129690,9
amused,50,2,1,1,13933,18646,VBN,10,0.170212766,6,8,45.45454545,amuse,9766,5
anarchy,100,3,3,0,11907,14172,,0,0,11,8,0,anarchy,27292,0
ancestor,66.66666667,12,8,4,11043,5877,NN,31,0.021276596,8,5,27.27272727,ancestor,41035,4
ancestors,42.85714286,7,3,4,15502,5877,NNS,18,0.063829787,7,2,36.36363636,ancestor,101781,6
anchor,25,4,1,3,14334,7672,NN,23,0.127659574,5,4,54.54545455,anchor,150748,8
anchored,50,6,3,3,18236,7672,VBN,1,0.021276596,5,7,54.54545455,anchor,40927,5
anchors,25,4,1,3,17985,7672,NNS,2,0.042553191,5,3,54.54545455,anchor,31186,8
ancient,40,5,2,3,9708,2021,NN,25,0.276595745,4,3,63.63636364,ancient,672737,6
and,63.63636364,33,21,12,9496,3,CC,13272,1,1,1,90.90909091,and,387117884,4
angel,0,8,0,8,15980,NULL,NN,11,0.021276596,7,11,0,angel,231133,10
angels,50,4,2,2,14592,2814,NNS,7,0.127659574,7,11,9.090909091,angel,212923,5
anger,40,5,2,3,10204,8464,NN,24,0.340425532,3,3,72.72727273,anger,192129,6
angle,36.84210526,19,7,12,9913,12043,NN,105,0.234042553,2,1,81.81818182,angle,498134,7
angles,19.23076923,26,5,21,17025,12043,NNS,6,0.085106383,2,1,81.81818182,angle,179972,9
angrily,30,10,3,7,12843,18367,RB,32,0.340425532,3,7,72.72727273,angrily,15587,7
anguish,100,2,2,0,11362,14624,NN,1,0.021276596,10,5,9.090909091,anguish,25405,0
animal,100,4,4,0,10112,802,NN,43,0.361702128,3,11,72.72727273,animal,929322,0
animals,60,5,3,2,9637,802,NNS,48,0.340425532,3,1,72.72727273,animal,1042396,4
animate,100,1,1,0,15803,NULL,N,0,0,7,11,0,animate,19948,0
animated,50,4,2,2,10390,10920,VBN,8,0.127659574,7,4,36.36363636,animated,148927,5
ankle,33.33333333,6,2,4,10350,4867,NN,7,0.127659574,7,9,36.36363636,ankle,150330,7
ankles,25,4,1,3,14858,4867,NNS,9,0.106382979,7,7,36.36363636,ankle,44913,8
annihilate,25,8,2,6,11623,17684,NN,1,0.021276596,10,9,9.090909091,annihilate,6986,8
announce,28.57142857,7,2,5,16034,NULL,NN,5,0.085106383,8,11,0,announce,277463,8
announced,60,5,3,2,16522,1004,V,0,0,8,9,27.27272727,announce,1085857,4
announcement,14.28571429,7,1,6,13361,2985,NN,14,0.234042553,5,3,54.54545455,announcement,302963,9
announcements,25,4,1,3,17403,2985,NNS,3,0.063829787,5,7,54.54545455,announcement,101502,8
announcer,0,3,0,3,13269,14636,NN,51,0.234042553,3,2,72.72727273,announcer,18192,10
announces,0,7,0,7,16523,1004,NNS,3,0.063829787,8,7,27.27272727,announce,95203,10
announcing,0,4,0,4,15052,1004,VBG,6,0.106382979,8,4,27.27272727,announce,94836,10
annoy,33.33333333,9,3,6,13828,9076,NN,3,0.063829787,5,9,54.54545455,annoy,23866,7
annoyed,14.28571429,7,1,6,13186,11081,NNS,25,0.255319149,4,7,63.63636364,annoy,19127,9
annoying,0,3,0,3,13652,9076,VBG,15,0.191489362,5,5,54.54545455,annoying,227349,10
annual,42.85714286,7,3,4,11044,1121,JJ,4,0.063829787,9,2,18.18181818,annual,1389902,6
anonymous,50,4,2,2,11624,3317,,0,0,11,4,0,anonymous,345877,5
